campus,code,name,site_code,lat,lng
seunghak,S01,대학본부 및 인문과학대학(A),LOC038,35.11467114988958,128.96549766927106
seunghak,S02,학생회관(Q),LOC039,35.11558536131743,128.96594462594888
seunghak,S03,공과대학1호관(P1),LOC040,35.11598166380311,128.96651349790017
seunghak,S04,공과대학2호관(P2),LOC041,35.116455923647756,128.9672761843048
seunghak,S05,공과대학3호관(P3),LOC042,35.1169032605884,128.9678929093368
seunghak,S06,공과대학5호관(RS),LOC043,35.1172749166863,128.96775926839615
seunghak,S07,예술체육대학1관,LOC044,35.11432660394371,128.9664600068146
seunghak,S08,교수회관(W),LOC045,35.11425392116053,128.96788402010404
seunghak,S09,생명자원과학대학 및 건강과학대학,LOC046,35.114910298505684,128.96853043765964
seunghak,S10,한림도서관(B),LOC047,35.11550178886394,128.96762339547058
seunghak,S11,자연과학대학(E),LOC048,35.115687874758684,128.96795689829986
seunghak,P4,공과대학4호관(P4),LOC049,35.1160873732028,128.9683284400812
seunghak,S13,창업관,LOC050,35.1162097721076,128.96966943765634
seunghak,S14,산학관(SM),LOC051,35.117361540556615,128.96949974839012
seunghak,S15,한림생활관 승학1관,LOC052,35.11876001285098,128.96939906028723
seunghak,S16,학생군사교육단(DE),LOC053,35.119207606476486,128.9687517535152
seunghak,S17,예술체육대학2관,LOC054,35.11546888503327,128.96867823054578
seunghak,S18,예술체육대학 실습동,LOC055,35.115201892559284,128.96874857838637
seunghak,S19,한림생활관 승학2관,LOC056,35.11813154344573,128.96814455687274
seunghak,S20,한림생활관 승학2관,LOC057,35.11843328505629,128.96843149923154
seunghak,S31,수위실,LOC058,35.11386873848791,128.96593627898181
seunghak,,정문,LOC059,35.11366960778213,128.96571214796595
seunghak,S22,L2M Platform(S22),LOC084,35.1167269930644,128.96972850335627
seunghak,S21,고압수소시험동(S21),LOC085,35.11610969588139,128.9694504175016
gudeok,G03,석당기념관,LOC060,35.1214380891332,129.01818194495007
gudeok,G01,구덕연구동 1호관,LOC061,35.121500367478696,129.01863592166714
gudeok,,의과대학(S2),LOC062,35.12103827708294,129.01892065818467
gudeok,G02,의과대학,LOC062,35.12103827708294,129.01892065818467
gudeok,G04,구덕교육동 1호관,LOC063,35.120635651904436,129.01915201894838
gudeok,G05,"구덕교육동 2,3호관",LOC064,35.12116219735184,129.01905533530316
gudeok,G06,구덕연구동 2호관,LOC065,35.12081746194128,129.0182461505754
gudeok,G11,구덕교육동 4호관,LOC066,35.12072540879912,129.02160561270586
gudeok,G12,구덕학생회관,LOC067,35.12026398712133,129.02171485719055
gudeok,,동아대학교병원(본관),LOC068,35.12021118361715,129.01758407481896
gudeok,,동아대학교병원(서관),LOC069,35.120305827885936,129.017312207212
gudeok,,동아대학교병원(동관),LOC070,35.120226613064396,129.01828092804342
gudeok,,동아대학교병원(중앙관),LOC071,35.120037502882745,129.01719042506875
gudeok,,동아대학교대신요양병원,LOC072,35.120139268079484,129.0189258883675
gudeok,,정문,LOC073,35.11935453657375,129.01829231417284
bumin,B01,석당박물관(BM),LOC074,35.10504925133331,129.01932119056167
bumin,B02,법학전문대학원(LS),LOC075,35.10382461110717,129.01926356068935
bumin,B03,글로벌인재관,LOC076,35.103898106902186,129.01890898288548
bumin,B04,종합강의동(BA-BD),LOC077,35.104910114736306,129.01874752481584
bumin,B05,국제관,LOC078,35.10557947700048,129.0196797055009
bumin,B31,수위실,LOC079,35.10497365327198,129.0198018302774
bumin,B32,동아한국어학당,LOC080,35.10345818749041,129.0189447360873
bumin,,한림생활관 부민관,LOC082,35.105726927217574,129.01853738434755
bumin,,정문,LOC083,35.104777970268586,129.0199176269351
